Page Name,PageLabelId,Page Label Name,ValueRT,Value,Storefront
All,Start_Date_End_Date_ValidationGlobalAll,Start_Date_End_Date_Validation,End Date cannot be less than Start Date,,Global
All,Start_Date_Past_ValidationGlobalAll,Start_Date_Past_Validation,Start Date Cannot be Future Date,,Global
All,Submit_Your_Tax_ExemptionGlobalAll,Submit_Your_Tax_Exemption,Please Submit Your Tax Exemption Details,,Global
All,Supported_FileGlobalAll,Supported_File,"Max File Size Less then 1 MB (Supported File Types: GIF, JPG, PDF)",,Global
All,Supported_File_ErrorGlobalAll,Supported_File_Error,"Supported file types : pdf, jpg, gif.",,Global
All,Support_File_TypeGlobalAll,Support_File_Type,"Supported file types : pdf, jpg, gif",,Global
All,Support_File_Type_ListGlobalAll,Support_File_Type_List,"pdf', 'PDF', 'JPG', 'jpg', 'GIF', 'gif'",,Global
All,TaxAuthorityGlobalAll,TaxAuthority,Tax Authority,,Global
All,taxAuthorityErrormessageGlobalAll,taxAuthorityErrormessage,Tax Authority is Required,,Global
All,Tax_Exemption_AppliedGlobalAll,Tax_Exemption_Applied,Tax Exemption has been applied on this Cart.,,Global
All,Tax_Exemption_Not_AppliedGlobalAll,Tax_Exemption_Not_Applied,Tax Exemption is not applied on this Cart.,,Global
All,Tax_Exempt_AppliedGlobalAll,Tax_Exempt_Applied,Tax Exemption has been applied on this Cart,,Global
All,Tax_Exempt_StatusGlobalAll,Tax_Exempt_Status,Tax Exempt Status,,Global
All,Tax_ID/VAT_NumberGlobalAll,Tax_ID/VAT_Number,Tax ID/VAT Number,,Global
All,Upload_Your_CertificateGlobalAll,Upload_Your_Certificate,Upload Your Certificate : *,,Global
